gender,age_60,age_60_70,age_70_80,age_80,bmi_30,bmi_30_35,bmi_35_40,bmi_40,antibiotics,ever_smoker,pre_comor_Group3_Endocrine,pre_comor_Anemia,pre_comor_Group5_MentalDisorder,pre_comor_Group6_Nervous,pre_comor_Hypertension,pre_comor_Group8_Respiratory,pre_comor_Rheumatism,num_patient
1,,,,1,,,,,0,0,0,0,0,0,1,0,0,17
1,,,,1,,,,,0,0,0,0,0,1,0,1,0,1
1,,,,1,,,,,0,0,0,0,0,1,1,0,0,2
1,,,,1,,,,,0,0,1,0,0,0,1,1,0,4
1,,,,1,,,,,0,0,1,1,0,1,0,0,0,1
1,,,,1,,,,,0,1,0,0,0,0,0,1,1,1
1,,,,1,,,,,0,1,1,1,0,0,1,0,1,1
1,,,,1,,,,,1,0,0,0,0,0,1,0,0,12
1,,,,1,,,,,1,0,0,0,0,1,0,1,0,1
1,,,,1,,,,,1,0,1,1,0,0,1,0,0,2
1,,,,1,,,,1,0,0,1,0,0,1,1,0,0,2
1,,,,1,,,,1,0,1,1,0,0,0,1,1,0,1
1,,,,1,,,,1,0,1,1,0,0,1,1,0,1,2
1,,,,1,,,,1,1,0,1,1,0,0,1,0,0,1
1,,,,1,,,1,,0,1,1,0,0,0,1,1,0,1
1,,,,1,,1,,,0,0,0,0,0,0,0,0,0,71
1,,,,1,,1,,,0,0,0,0,0,1,0,0,0,2
1,,,,1,,1,,,0,0,1,0,0,0,1,0,0,28
1,,,,1,,1,,,0,0,1,0,0,1,0,0,0,1
1,,,,1,,1,,,0,0,1,0,1,0,1,1,1,2
1,,,,1,,1,,,0,0,1,0,1,1,1,0,0,1
1,,,,1,,1,,,0,0,1,1,0,0,0,0,0,2
1,,,,1,,1,,,0,1,0,1,0,0,0,0,0,1
1,,,,1,,1,,,0,1,1,0,1,1,1,1,1,1
1,,,,1,1,,,,0,0,1,0,0,0,0,1,0,4
1,,,,1,1,,,,0,0,1,0,0,0,1,0,0,57
1,,,,1,1,,,,0,0,1,1,0,0,1,0,1,9
1,,,,1,1,,,,0,0,1,1,1,0,1,1,1,1
1,,,,1,1,,,,0,1,1,0,0,1,0,0,1,2
1,,,,1,1,,,,0,1,1,0,0,1,1,1,0,7
