"predictor","intercept","age","bmi_pre","gender","antibiotics","ever_smoker","pre_comor_Group3_Endocrine","pre_comor_Anemia","pre_comor_Group5_MentalDisorder","pre_comor_Group6_Nervous","pre_comor_Hypertension","pre_comor_Group8_Respiratory","pre_comor_Rheumatism"
"intercept",0.0289828124299892,-0.000271098926569376,-0.000323301283869379,-0.000484477832334499,-0.000721038907528896,-0.00131532408960517,0.000335413448289829,0.00012291704367771,-0.000505845745805999,-0.000138360037189672,0.00117043141518951,-5.33379974449098e-05,-0.000374519070585141
"age",-0.000271098926569376,3.68471114553687e-06,1.31683575019288e-06,-2.65582262576424e-06,-2.62221609697371e-06,1.14698904267521e-05,-9.12158508817099e-06,-5.83572339545475e-06,1.1909796102611e-05,-6.31817945482668e-07,-1.7260617978183e-05,2.56823557285065e-06,2.8682668061941e-06
"bmi_pre",-0.000323301283869379,1.31683575019288e-06,7.64398033594706e-06,-8.36084790951318e-06,9.06364246660987e-06,6.34322209061259e-06,-1.26918468202911e-05,6.86680958902958e-06,-2.11782722775687e-06,3.73885616179871e-06,-1.66282984340812e-05,-3.63339180113332e-06,7.78031812562157e-07
"gender",-0.000484477832334499,-2.65582262576424e-06,-8.36084790951318e-06,0.001676351987052,-5.80355547759322e-06,0.000229894526570258,-3.44364377843254e-06,-3.3218666545778e-05,-0.0002833274277477,-2.82248614684626e-05,6.73506327837238e-05,-0.000104950750990452,-0.000116235576749346
"antibiotics",-0.000721038907528896,-2.62221609697371e-06,9.06364246660987e-06,-5.80355547759322e-06,0.00179912578126838,8.02975777495879e-06,2.92258545966119e-05,4.05724603067531e-07,-2.76928037213012e-05,-5.16293396742733e-05,4.42073049046114e-05,-8.68245751148731e-05,4.71257358834659e-05
"ever_smoker",-0.00131532408960517,1.14698904267521e-05,6.34322209061259e-06,0.000229894526570258,8.02975777495879e-06,0.0022508974821357,-0.000136203307655533,-4.63275357485041e-05,-0.000250823099078881,-0.000161724779163604,-0.000112043709718084,-0.00027469548162023,-0.000138460446788129
"pre_comor_Group3_Endocrine",0.000335413448289829,-9.12158508817099e-06,-1.26918468202911e-05,-3.44364377843254e-06,2.92258545966119e-05,-0.000136203307655533,0.00261416665387481,-0.000343314168837471,-0.000232216027386132,-0.000260927562122407,-0.00101004007411612,-0.000288037711296567,-0.000227884227745673
"pre_comor_Anemia",0.00012291704367771,-5.83572339545475e-06,6.86680958902958e-06,-3.3218666545778e-05,4.05724603067531e-07,-4.63275357485041e-05,-0.000343314168837471,0.00268460126481575,-0.000236682932881082,-0.000200307891170974,-0.000175320971489326,-0.000199839301898373,-0.000133288085799012
"pre_comor_Group5_MentalDisorder",-0.000505845745805999,1.1909796102611e-05,-2.11782722775687e-06,-0.0002833274277477,-2.76928037213012e-05,-0.000250823099078881,-0.000232216027386132,-0.000236682932881082,0.00326653232607645,-0.000461051034252703,-9.34687225050119e-05,-0.000292980596465514,-0.000208021152408399
"pre_comor_Group6_Nervous",-0.000138360037189672,-6.31817945482668e-07,3.73885616179871e-06,-2.82248614684626e-05,-5.16293396742733e-05,-0.000161724779163604,-0.000260927562122407,-0.000200307891170974,-0.000461051034252703,0.00238692526834731,-0.000140542194560203,-0.000359887371613657,-0.000392188796550314
"pre_comor_Hypertension",0.00117043141518951,-1.7260617978183e-05,-1.66282984340812e-05,6.73506327837238e-05,4.42073049046114e-05,-0.000112043709718084,-0.00101004007411612,-0.000175320971489326,-9.34687225050119e-05,-0.000140542194560203,0.00234372091070794,-0.000148782067828225,-7.86721103964251e-05
"pre_comor_Group8_Respiratory",-5.33379974449098e-05,2.56823557285065e-06,-3.63339180113332e-06,-0.000104950750990452,-8.68245751148731e-05,-0.00027469548162023,-0.000288037711296567,-0.000199839301898373,-0.000292980596465514,-0.000359887371613657,-0.000148782067828225,0.00233989340977301,-0.000214269394707111
"pre_comor_Rheumatism",-0.000374519070585141,2.8682668061941e-06,7.78031812562157e-07,-0.000116235576749346,4.71257358834659e-05,-0.000138460446788129,-0.000227884227745673,-0.000133288085799012,-0.000208021152408399,-0.000392188796550314,-7.86721103964251e-05,-0.000214269394707111,0.00213132399340347
