"gender","age_60","age_60_70","age_70_80","age_80","bmi_25","bmi_25_30","bmi_30","antibiotics","ever_smoker","pre_comor_Group3_Endocrine","pre_comor_Anemia","pre_comor_Group5_MentalDisorder","pre_comor_Group6_Nervous","pre_comor_Hypertension","pre_comor_Group8_Respiratory","pre_comor_Rheumatism","num_patient"
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3
1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,8
1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,2
1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1
1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,2
1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,117
1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1
1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,2
1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1
1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,3
1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1
1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,2
1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1
1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,5
1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1
1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1
1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,3
1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1
1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,2
1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1
1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,3
1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,4
1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1
1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,2
1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1
1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,5
1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1
1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1
1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,2
1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1
1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1
1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,17
1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,33
1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1
1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1
1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,3
1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,3
1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,31
1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,5
1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,2
1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1
1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1
1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,16
1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,5
1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,9
1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,10
1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,6
1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,2
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,5
1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1
1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,10
1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,7
1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1
1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,5
1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,2
1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1
1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,2
1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,3
1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1
1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,3
1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,3
1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,2
1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,2
1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,2
1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,2
1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1
1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,2
1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,13
1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1
1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1
1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1
1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,2
1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,3
1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,7
1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,2
1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,2
1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,4
1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1
1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1
1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,2
1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2
1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,3
1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1
1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1
1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,6
