"percent","quantile"
"0%",0.0254760598267452
"5%",0.0313892505423631
"10%",0.0339869497029369
"15%",0.0360084466541927
"20%",0.037668827209895
"25%",0.0393481875052317
"30%",0.0411710275423372
"35%",0.0432788252001827
"40%",0.0452272271681286
"45%",0.0471714888668443
"50%",0.0494682580416672
"55%",0.0521969795196393
"60%",0.0553149716711603
"65%",0.0586139130421146
"70%",0.0625373559794127
"75%",0.0679495574929422
"80%",0.0743220394021601
"85%",0.0827583744679952
"90%",0.0948974801965052
"95%",0.11544777674144
"100%",0.253590543469498
