"percent","quantile"
"0%",0.0295522853324466
"5%",0.041093249255598
"10%",0.0448423595143675
"15%",0.0485143176216037
"20%",0.0534701967494517
"25%",0.0612513773058869
"30%",0.0693824578266545
"35%",0.0760742041097269
"40%",0.0818134319373952
"45%",0.0872377989849878
"50%",0.0930521976553364
"55%",0.0993375160899112
"60%",0.106414584619456
"65%",0.116445719159239
"70%",0.129813033278082
"75%",0.143588240421157
"80%",0.161157232636809
"85%",0.184057179533302
"90%",0.214973327303606
"95%",0.267111554093324
"100%",0.563988730581813
